review_id,activation_primarily_inside_annotation,activation_concentrated_on_degradation_artifact,pattern_consistent_across_cnn_seeds,prediction_visually_understandable_after_reveal,reviewer_notes
P9A-001,partial,no,partly,yes,"Predicted-craze activation overlaps the defect, but true-class activation varies and sometimes extends beyond the box."
P9A-002,partial,no,partly,yes,"Most maps touch the boxed defect, although the hotspot position and revealed wrong class vary by seed."
P9A-003,partial,no,yes,yes,"The spatial pattern is stable across seeds, but a substantial share of activation falls near or below the box."
P9A-004,outside,no,partly,yes,Activation is concentrated mainly in the broad textured region below the narrow annotation rather than inside it.
P9A-005,inside,no,partly,yes,Activation generally follows the long diagonal defect; craze versus hide_craze is visually understandable.
P9A-006,partial,no,partly,yes,"The narrow annotation is intersected by some hotspots, while other activation shifts to the adjacent blade/background region."
P9A-007,inside,no,partly,yes,"Most activation remains on the boxed irregular surface region, with moderate seed-to-seed variation."
P9A-008,partial,no,yes,yes,"The maps are spatially similar, but the hotspot often straddles or sits just outside the narrow annotation."
P9A-009,partial,no,partly,yes,Activation overlaps the thin boxed region but is broad and shifts vertically across seeds.
P9A-010,outside,no,partly,uncertain,The annotation is extremely narrow and most activation lies around it; the low-detail image makes the revealed class hard to assess.
P9A-011,inside,no,partly,yes,"Activation remains centered on the boxed thunderstrike region despite severe darkening, with some seed variation."
P9A-012,inside,no,yes,yes,The three seeds emphasize the boxed lesion in broadly similar locations after severe brightness loss.
P9A-013,partial,uncertain,partly,yes,"Blur spreads the hotspots across the defect boundary and adjacent blade region, so artifact influence is not separable visually."
P9A-014,inside,no,yes,yes,Most maps remain centered on the annotated corrosion region and are fairly consistent across seeds.
P9A-015,partial,uncertain,partly,yes,The maps alternate between the narrow defect and nearby blurred structure; the class change is plausible after blur.
P9A-016,partial,uncertain,partly,yes,Activation overlaps the annotated feature but is broad under blur and only moderately stable across seeds.
P9A-017,inside,no,no,yes,"Activation is largely within the large annotation, but the hotspot pattern changes markedly among seeds."
P9A-018,inside,no,partly,yes,"The annotated corrosion strip receives most activation, with moderate spatial variation across seeds."
P9A-019,outside,uncertain,no,yes,Hotspots are mostly above or below the narrow box under severe darkening and differ substantially by seed.
P9A-020,partial,uncertain,yes,yes,"Seed patterns are similar, but much of the blurred activation lies adjacent to the narrow annotation."
P9A-021,inside,no,yes,yes,Activation consistently covers the boxed crack region; severe darkening makes the harmful flip understandable.
P9A-022,inside,no,yes,yes,The maps consistently emphasize the annotated region even though the degraded predictions change class.
P9A-023,partial,uncertain,yes,yes,"The hotspot repeatedly sits near the lower edge of the box, partly spilling outside after darkening."
P9A-024,inside,no,partly,yes,"Most activation remains inside the large annotation, although the spatial emphasis differs across seeds."
P9A-025,partial,uncertain,partly,yes,"The box is intersected, but degraded hotspots spread into surrounding dark regions and are not fully stable."
P9A-026,partial,no,partly,yes,Activation is broad but still centered near the annotated defect; the brightness-induced flip is visually plausible.
P9A-027,inside,no,partly,yes,"The corrosion region remains the dominant focus despite blur, with moderate seed-to-seed movement."
P9A-028,inside,no,yes,yes,All seeds concentrate strongly within the large annotation and show a consistent spatial pattern.
P9A-029,outside,uncertain,no,yes,Most activation lies above or below the thin annotation and varies substantially across seeds under blur.
P9A-030,inside,no,no,yes,"Activation is mostly inside the box, but different seeds focus on different subregions."
P9A-031,partial,no,partly,yes,"The stable wrong prediction is visually understandable, while predicted- and true-class maps only partly agree spatially."
P9A-032,partial,uncertain,partly,yes,"The large box is generally covered, but severe darkening produces broad, shifting activation."
P9A-033,partial,uncertain,partly,yes,JPEG degradation leaves mixed activation inside and around the box; the low-detail defect makes the error plausible.
P9A-034,inside,no,yes,yes,Activation remains within the annotated crack area and is broadly consistent across seeds and views.
P9A-035,outside,uncertain,partly,uncertain,Most activation falls outside the very narrow annotation; JPEG detail loss and scene content make interpretation difficult.
P9A-036,inside,no,partly,yes,"The maps consistently cover the visible corrosion patch, with moderate differences between class targets and seeds."
P9A-037,partial,uncertain,yes,yes,"Seed patterns are highly similar, but hotspots often sit just below or beside the narrow hide_craze annotation."
P9A-038,partial,uncertain,yes,yes,The blurred maps are fairly consistent but straddle the annotated corrosion region and its surrounding edge.
P9A-039,inside,no,yes,yes,Clean and degraded true-class maps consistently emphasize the boxed hide_craze feature.
P9A-040,inside,no,yes,yes,Activation closely follows the boxed craze feature in both clean and darkened views.
P9A-041,inside,no,yes,yes,All seeds consistently emphasize the annotated craze region across clean and degraded inputs.
P9A-042,outside,no,partly,yes,Activation is on the large visible damaged area below the narrow box rather than on a brightness artifact.
P9A-043,inside,no,yes,yes,The corrosion strip is strongly and consistently highlighted across seeds and brightness conditions.
P9A-044,inside,no,yes,yes,Activation tracks the annotated crack region consistently in clean and severely darkened views.
P9A-045,inside,no,yes,yes,The elongated corrosion area remains the stable activation focus across seeds and conditions.
P9A-046,inside,no,yes,yes,All maps consistently emphasize the annotated thunderstrike region rather than the darkened background.
P9A-047,inside,no,yes,yes,Activation remains on the annotated crack and the beneficial flip after moderate blur is visually understandable.
P9A-048,outside,no,partly,yes,Hotspots follow the larger visible injury below the narrow box; they do not appear centered on blur artifacts.
P9A-049,outside,no,partly,yes,"Activation is concentrated on the visible damaged region below the narrow annotation, with moderate seed variation."
P9A-050,inside,no,partly,yes,"The diagonal hide_craze feature is emphasized, but exact hotspot placement changes across seeds and brightness."
P9A-051,partial,no,yes,yes,"Seed patterns are consistent and degraded maps move onto the corrosion region, though clean maps are broader."
P9A-052,partial,no,partly,yes,"The thin corrosion edge receives strong activation in several maps, but clean and degraded emphasis differs."
P9A-053,partial,uncertain,partly,yes,"Most hotspots overlap the elongated corrosion box, but severe darkness and seed disagreement broaden the pattern."
P9A-054,inside,no,yes,yes,The corrosion region is consistently emphasized despite the prediction disagreement in one seed.
P9A-055,partial,no,no,yes,"Activation overlaps the injury but changes markedly across seeds, matching the observed seed disagreement."
P9A-056,partial,no,partly,yes,"Maps alternate between the annotated craze and nearby structure, with moderate cross-seed similarity."
