sample_id,image_filename,primary_xml_filename,secondary_xml_filename,primary_declared_filename,secondary_declared_filename,official_split,resolved_image_filename,annotation_source,identity_status,annotation_status,duplicate_group_id,duplicate_status,curated_split,include,reason_code,review_status,reviewer,review_notes,evidence_artifact,source_dataset_fingerprint,curation_version
0,0.jpg,0.xml,0.xml,0.jpg,0.jpg,validation,0.jpg,primary,consistent,primary_confirmed,,unique,validation,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
1,1.jpg,1.xml,1.xml,1.jpg,1.jpg,train,1.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
2,2.jpg,2.xml,2.xml,2.jpg,2.jpg,train,2.jpg,primary,consistent,primary_confirmed,,near_duplicate_review,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
3,3.jpg,3.xml,3.xml,3.jpg,3.jpg,validation,3.jpg,primary,consistent,primary_confirmed,,unique,validation,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
4,4.jpg,4.xml,4.xml,4.jpg,4.jpg,train,4.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
5,5.jpg,5.xml,5.xml,5.jpg,5.jpg,train,5.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
6,6.jpg,6.xml,6.xml,6.jpg,6.jpg,train,6.jpg,primary,consistent,primary_confirmed,scene-001,near_duplicate_same_scene,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
7,7.jpg,7.xml,7.xml,7.jpg,7.jpg,validation,7.jpg,primary,consistent,primary_confirmed,,unique,validation,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
8,8.jpg,8.xml,8.xml,8.jpg,8.jpg,train,8.jpg,primary,consistent,primary_confirmed,,near_duplicate_review,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
9,9.jpg,9.xml,9.xml,9.jpg,9.jpg,train,9.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
10,10.jpg,10.xml,10.xml,10.jpg,10.jpg,train,10.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
11,11.jpg,11.xml,11.xml,11.jpg,11.jpg,validation,11.jpg,primary,consistent,primary_confirmed,,unique,validation,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
12,12.jpg,12.xml,12.xml,12.jpg,12.jpg,train,12.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
13,13.jpg,13.xml,13.xml,13.jpg,13.jpg,test,13.jpg,primary,consistent,primary_confirmed,scene-002,near_duplicate_same_scene,test,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
14,14.jpg,14.xml,14.xml,14.jpg,14.jpg,train,14.jpg,primary,consistent,primary_confirmed,,near_duplicate_review,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
15,15.jpg,15.xml,15.xml,15.jpg,15.jpg,train,15.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
16,16.jpg,16.xml,16.xml,16.jpg,16.jpg,train,16.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
17,17.jpg,17.xml,17.xml,17.jpg,17.jpg,train,17.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
18,18.jpg,18.xml,18.xml,18.jpg,18.jpg,train,18.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
19,19.jpg,19.xml,19.xml,19.jpg,19.jpg,validation,19.jpg,primary,consistent,primary_confirmed,,unique,validation,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
20,20.jpg,20.xml,20.xml,20.jpg,20.jpg,train,20.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
21,21.jpg,21.xml,21.xml,21.jpg,21.jpg,validation,21.jpg,primary,consistent,primary_confirmed,,unique,validation,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
22,22.jpg,22.xml,22.xml,22.jpg,22.jpg,train,22.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
23,23.jpg,23.xml,23.xml,23.jpg,23.jpg,train,23.jpg,primary,consistent,primary_confirmed,,unique,train,True,none,not_required,,,data/metadata/wtbd/second_annotator_comparison.csv,568c00e99f5ca8d205c5b48b3c058ca8f3b93d2e4de9986ec7d01af75b33babb,wtbd-curation-v1
