selection_event,method,condition_id,corruption_family,severity,instance_id,source_image_id,true_label,eligibility_rule,satisfying_seed_count,seed_predictions
clean_consensus_error,resnet18,clean,clean,clean,48_0,48,surface_injure,consensus,3,17:craze:clean_only|29:craze:clean_only|43:craze:clean_only
seed_disagreement,resnet18,clean,clean,clean,51_0,51,craze,seed_disagreement,3,17:corrosion:clean_only|29:corrosion:clean_only|43:craze:clean_only
seed_disagreement,resnet18,clean,clean,clean,57_1,57,surface_injure,seed_disagreement,3,17:surface_injure:clean_only|29:corrosion:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,65_0,65,corrosion,seed_disagreement,3,17:corrosion:clean_only|29:hide_craze:clean_only|43:corrosion:clean_only
seed_disagreement,resnet18,clean,clean,clean,88_0,88,crack,seed_disagreement,3,17:crack:clean_only|29:hide_craze:clean_only|43:hide_craze:clean_only
clean_consensus_error,resnet18,clean,clean,clean,142_0,142,surface_injure,consensus,3,17:corrosion:clean_only|29:corrosion:clean_only|43:corrosion:clean_only
seed_disagreement,resnet18,clean,clean,clean,167_1,167,craze,seed_disagreement,3,17:hide_craze:clean_only|29:craze:clean_only|43:craze:clean_only
seed_disagreement,resnet18,clean,clean,clean,228_0,228,hide_craze,seed_disagreement,3,17:hide_craze:clean_only|29:crack:clean_only|43:crack:clean_only
clean_consensus_error,resnet18,clean,clean,clean,228_1,228,hide_craze,consensus,3,17:craze:clean_only|29:craze:clean_only|43:craze:clean_only
seed_disagreement,resnet18,clean,clean,clean,234_0,234,surface_injure,seed_disagreement,3,17:surface_injure:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,255_0,255,surface_injure,seed_disagreement,3,17:hide_craze:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,257_0,257,surface_injure,seed_disagreement,3,17:surface_injure:clean_only|29:corrosion:clean_only|43:surface_injure:clean_only
clean_consensus_error,resnet18,clean,clean,clean,323_0,323,corrosion,consensus,3,17:surface_injure:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,323_0,323,corrosion,seed_disagreement,3,17:surface_injure:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,390_0,390,corrosion,seed_disagreement,3,17:surface_injure:clean_only|29:corrosion:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,410_0,410,corrosion,seed_disagreement,3,17:corrosion:clean_only|29:corrosion:clean_only|43:craze:clean_only
seed_disagreement,resnet18,clean,clean,clean,410_1,410,corrosion,seed_disagreement,3,17:corrosion:clean_only|29:corrosion:clean_only|43:craze:clean_only
seed_disagreement,resnet18,clean,clean,clean,457_2,457,hide_craze,seed_disagreement,3,17:hide_craze:clean_only|29:hide_craze:clean_only|43:thunderstrike:clean_only
seed_disagreement,resnet18,clean,clean,clean,464_1,464,hide_craze,seed_disagreement,3,17:surface_injure:clean_only|29:hide_craze:clean_only|43:thunderstrike:clean_only
clean_consensus_error,resnet18,clean,clean,clean,521_0,521,corrosion,consensus,3,17:surface_injure:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,521_0,521,corrosion,seed_disagreement,3,17:surface_injure:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only
clean_consensus_error,resnet18,clean,clean,clean,521_1,521,corrosion,consensus,3,17:hide_craze:clean_only|29:hide_craze:clean_only|43:hide_craze:clean_only
clean_consensus_error,resnet18,clean,clean,clean,546_0,546,corrosion,consensus,3,17:surface_injure:clean_only|29:surface_injure:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,591_0,591,thunderstrike,seed_disagreement,3,17:thunderstrike:clean_only|29:thunderstrike:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,600_0,600,hide_craze,seed_disagreement,3,17:hide_craze:clean_only|29:corrosion:clean_only|43:hide_craze:clean_only
seed_disagreement,resnet18,clean,clean,clean,623_1,623,surface_injure,seed_disagreement,3,17:crack:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,642_1,642,surface_injure,seed_disagreement,3,17:surface_injure:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,655_0,655,hide_craze,seed_disagreement,3,17:crack:clean_only|29:hide_craze:clean_only|43:hide_craze:clean_only
seed_disagreement,resnet18,clean,clean,clean,658_0,658,corrosion,seed_disagreement,3,17:corrosion:clean_only|29:hide_craze:clean_only|43:corrosion:clean_only
seed_disagreement,resnet18,clean,clean,clean,663_0,663,hide_craze,seed_disagreement,3,17:hide_craze:clean_only|29:craze:clean_only|43:hide_craze:clean_only
seed_disagreement,resnet18,clean,clean,clean,671_1,671,surface_injure,seed_disagreement,3,17:hide_craze:clean_only|29:hide_craze:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,689_0,689,surface_injure,seed_disagreement,3,17:crack:clean_only|29:crack:clean_only|43:surface_injure:clean_only
seed_disagreement,resnet18,clean,clean,clean,875_1,875,hide_craze,seed_disagreement,3,17:hide_craze:clean_only|29:hide_craze:clean_only|43:crack:clean_only
beneficial_flip,resnet18,gaussian_blur_mild,gaussian_blur,mild,48_0,48,surface_injure,majority,2,17:craze:stable_wrong|29:surface_injure:beneficial_flip|43:surface_injure:beneficial_flip
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,48_0,48,surface_injure,seed_disagreement,3,17:craze:stable_wrong|29:surface_injure:beneficial_flip|43:surface_injure:beneficial_flip
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,51_0,51,craze,seed_disagreement,3,17:corrosion:stable_wrong|29:corrosion:stable_wrong|43:craze:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,57_1,57,surface_injure,seed_disagreement,3,17:surface_injure:stable_correct|29:corrosion:stable_wrong|43:surface_injure:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,65_0,65,corrosion,seed_disagreement,3,17:corrosion:stable_correct|29:hide_craze:stable_wrong|43:corrosion:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,71_0,71,craze,seed_disagreement,3,17:thunderstrike:harmful_flip|29:craze:stable_correct|43:craze:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,88_0,88,crack,seed_disagreement,3,17:crack:stable_correct|29:hide_craze:stable_wrong|43:hide_craze:stable_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,142_0,142,surface_injure,seed_disagreement,3,17:surface_injure:beneficial_flip|29:hide_craze:changed_wrong|43:corrosion:stable_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,161_0,161,corrosion,seed_disagreement,3,17:corrosion:stable_correct|29:corrosion:stable_correct|43:surface_injure:harmful_flip
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,166_0,166,craze,seed_disagreement,3,17:craze:stable_correct|29:crack:harmful_flip|43:craze:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,167_1,167,craze,seed_disagreement,3,17:hide_craze:stable_wrong|29:craze:stable_correct|43:craze:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,198_0,198,craze,seed_disagreement,3,17:craze:stable_correct|29:craze:stable_correct|43:surface_injure:harmful_flip
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,209_0,209,hide_craze,seed_disagreement,3,17:surface_injure:harmful_flip|29:hide_craze:stable_correct|43:hide_craze:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,228_0,228,hide_craze,seed_disagreement,3,17:hide_craze:stable_correct|29:crack:stable_wrong|43:crack:stable_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,228_1,228,hide_craze,seed_disagreement,3,17:hide_craze:beneficial_flip|29:craze:stable_wrong|43:crack:changed_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,255_0,255,surface_injure,seed_disagreement,3,17:hide_craze:stable_wrong|29:surface_injure:beneficial_flip|43:surface_injure:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,323_0,323,corrosion,seed_disagreement,3,17:surface_injure:stable_wrong|29:hide_craze:stable_wrong|43:hide_craze:changed_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,326_1,326,craze,seed_disagreement,3,17:surface_injure:harmful_flip|29:craze:stable_correct|43:craze:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,390_0,390,corrosion,seed_disagreement,3,17:surface_injure:stable_wrong|29:corrosion:stable_correct|43:surface_injure:stable_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,410_0,410,corrosion,seed_disagreement,3,17:corrosion:stable_correct|29:corrosion:stable_correct|43:craze:stable_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,410_1,410,corrosion,seed_disagreement,3,17:corrosion:stable_correct|29:corrosion:stable_correct|43:craze:stable_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,457_2,457,hide_craze,seed_disagreement,3,17:hide_craze:stable_correct|29:hide_craze:stable_correct|43:thunderstrike:stable_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,464_0,464,craze,seed_disagreement,3,17:surface_injure:harmful_flip|29:craze:stable_correct|43:craze:stable_correct
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,464_1,464,hide_craze,seed_disagreement,3,17:surface_injure:stable_wrong|29:hide_craze:stable_correct|43:thunderstrike:stable_wrong
seed_disagreement,resnet18,gaussian_blur_mild,gaussian_blur,mild,476_0,476,surface_injure,seed_disagreement,3,17:surface_injure:stable_correct|29:surface_injure:stable_correct|43:hide_craze:harmful_flip
