unit,pass_name,response_field,response_value,group_dimension,group_value,count,denominator,percentage
review_case,pass_a,defect_visible,yes,method,mobilenet_v3_small,8,9,88.888889
review_case,pass_a,defect_visible,partially,method,mobilenet_v3_small,1,9,11.111111
review_case,pass_a,defect_visible,no,method,mobilenet_v3_small,0,9,0.000000
review_case,pass_a,defect_visible,uncertain,method,mobilenet_v3_small,0,9,0.000000
review_case,pass_a,defect_visible,yes,method,resnet18,42,51,82.352941
review_case,pass_a,defect_visible,partially,method,resnet18,9,51,17.647059
review_case,pass_a,defect_visible,no,method,resnet18,0,51,0.000000
review_case,pass_a,defect_visible,uncertain,method,resnet18,0,51,0.000000
review_case,pass_a,defect_visible,yes,corruption_family,brightness,27,34,79.411765
review_case,pass_a,defect_visible,partially,corruption_family,brightness,7,34,20.588235
review_case,pass_a,defect_visible,no,corruption_family,brightness,0,34,0.000000
review_case,pass_a,defect_visible,uncertain,corruption_family,brightness,0,34,0.000000
review_case,pass_a,defect_visible,yes,corruption_family,clean,8,10,80.000000
review_case,pass_a,defect_visible,partially,corruption_family,clean,2,10,20.000000
review_case,pass_a,defect_visible,no,corruption_family,clean,0,10,0.000000
review_case,pass_a,defect_visible,uncertain,corruption_family,clean,0,10,0.000000
review_case,pass_a,defect_visible,yes,corruption_family,gaussian_blur,13,13,100.000000
review_case,pass_a,defect_visible,partially,corruption_family,gaussian_blur,0,13,0.000000
review_case,pass_a,defect_visible,no,corruption_family,gaussian_blur,0,13,0.000000
review_case,pass_a,defect_visible,uncertain,corruption_family,gaussian_blur,0,13,0.000000
review_case,pass_a,defect_visible,yes,corruption_family,jpeg,2,3,66.666667
review_case,pass_a,defect_visible,partially,corruption_family,jpeg,1,3,33.333333
review_case,pass_a,defect_visible,no,corruption_family,jpeg,0,3,0.000000
review_case,pass_a,defect_visible,uncertain,corruption_family,jpeg,0,3,0.000000
review_case,pass_a,defect_visible,yes,severity,clean,8,10,80.000000
review_case,pass_a,defect_visible,partially,severity,clean,2,10,20.000000
review_case,pass_a,defect_visible,no,severity,clean,0,10,0.000000
review_case,pass_a,defect_visible,uncertain,severity,clean,0,10,0.000000
review_case,pass_a,defect_visible,yes,severity,mild,3,4,75.000000
review_case,pass_a,defect_visible,partially,severity,mild,1,4,25.000000
review_case,pass_a,defect_visible,no,severity,mild,0,4,0.000000
review_case,pass_a,defect_visible,uncertain,severity,mild,0,4,0.000000
review_case,pass_a,defect_visible,yes,severity,moderate,2,3,66.666667
review_case,pass_a,defect_visible,partially,severity,moderate,1,3,33.333333
review_case,pass_a,defect_visible,no,severity,moderate,0,3,0.000000
review_case,pass_a,defect_visible,uncertain,severity,moderate,0,3,0.000000
review_case,pass_a,defect_visible,yes,severity,severe,37,43,86.046512
review_case,pass_a,defect_visible,partially,severity,severe,6,43,13.953488
review_case,pass_a,defect_visible,no,severity,severe,0,43,0.000000
review_case,pass_a,defect_visible,uncertain,severity,severe,0,43,0.000000
review_case,pass_a,defect_visible,yes,condition_group,clean,8,10,80.000000
review_case,pass_a,defect_visible,partially,condition_group,clean,2,10,20.000000
review_case,pass_a,defect_visible,no,condition_group,clean,0,10,0.000000
review_case,pass_a,defect_visible,uncertain,condition_group,clean,0,10,0.000000
review_case,pass_a,defect_visible,yes,condition_group,degraded,42,50,84.000000
review_case,pass_a,defect_visible,partially,condition_group,degraded,8,50,16.000000
review_case,pass_a,defect_visible,no,condition_group,degraded,0,50,0.000000
review_case,pass_a,defect_visible,uncertain,condition_group,degraded,0,50,0.000000
review_case,pass_a,defect_visible,yes,selection_event,beneficial_flip,6,6,100.000000
review_case,pass_a,defect_visible,partially,selection_event,beneficial_flip,0,6,0.000000
review_case,pass_a,defect_visible,no,selection_event,beneficial_flip,0,6,0.000000
review_case,pass_a,defect_visible,uncertain,selection_event,beneficial_flip,0,6,0.000000
review_case,pass_a,defect_visible,yes,selection_event,clean_consensus_error,8,10,80.000000
review_case,pass_a,defect_visible,partially,selection_event,clean_consensus_error,2,10,20.000000
review_case,pass_a,defect_visible,no,selection_event,clean_consensus_error,0,10,0.000000
review_case,pass_a,defect_visible,uncertain,selection_event,clean_consensus_error,0,10,0.000000
review_case,pass_a,defect_visible,yes,selection_event,seed_disagreement,6,8,75.000000
review_case,pass_a,defect_visible,partially,selection_event,seed_disagreement,2,8,25.000000
review_case,pass_a,defect_visible,no,selection_event,seed_disagreement,0,8,0.000000
review_case,pass_a,defect_visible,uncertain,selection_event,seed_disagreement,0,8,0.000000
review_case,pass_a,defect_visible,yes,selection_event,severe_harmful_flip,19,20,95.000000
review_case,pass_a,defect_visible,partially,selection_event,severe_harmful_flip,1,20,5.000000
review_case,pass_a,defect_visible,no,selection_event,severe_harmful_flip,0,20,0.000000
review_case,pass_a,defect_visible,uncertain,selection_event,severe_harmful_flip,0,20,0.000000
review_case,pass_a,defect_visible,yes,selection_event,severe_stable_correct,5,8,62.500000
review_case,pass_a,defect_visible,partially,selection_event,severe_stable_correct,3,8,37.500000
