sample_id,primary_declared_filename,secondary_declared_filename,filename_identity_agreement,primary_object_count,secondary_object_count,object_count_agreement,class_multiset_agreement,matched_same_class_boxes,unmatched_primary,unmatched_secondary,mean_matched_iou,minimum_matched_iou,exact_annotation_signature,agreement_category
0,0.jpg,0.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
1,1.jpg,1.jpg,True,1,1,True,True,1,0,0,0.936547139328889,0.936547139328889,False,strong_agreement
2,2.jpg,2.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
3,3.jpg,3.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
4,4.jpg,4.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
5,5.jpg,5.jpg,True,3,3,True,True,3,0,0,1.0,1.0,True,strong_agreement
6,6.jpg,6.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
7,7.jpg,7.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
8,8.jpg,8.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
9,9.jpg,9.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
10,10.jpg,10.jpg,True,2,2,True,True,2,0,0,0.9578004089651577,0.9156008179303156,False,strong_agreement
11,11.jpg,11.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
12,12.jpg,12.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
13,13.jpg,13.jpg,True,2,2,True,True,2,0,0,0.9580258837164382,0.9160517674328762,False,strong_agreement
14,14.jpg,14.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
15,15.jpg,15.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
16,16.jpg,16.jpg,True,1,1,True,False,0,1,1,,,False,class_disagreement
17,17.jpg,17.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
18,18.jpg,18.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
19,19.jpg,19.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
20,20.jpg,20.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
21,21.jpg,21.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
22,22.jpg,22.jpg,True,1,1,True,True,1,0,0,0.9908879757012685,0.9908879757012685,False,strong_agreement
23,23.jpg,23.jpg,True,1,1,True,True,1,0,0,0.9421059414873051,0.9421059414873051,False,strong_agreement
24,24.jpg,24.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
25,25.jpg,25.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
26,26.jpg,26.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
27,27.jpg,27.jpg,True,3,3,True,True,3,0,0,0.9879321907120104,0.9637965721360313,False,strong_agreement
28,28.jpg,28.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
29,29.jpg,29.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
30,30.jpg,30.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
31,31.jpg,31.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
32,32.jpg,32.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
33,33.jpg,33.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
34,34.jpg,34.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
35,35.jpg,35.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
36,36.jpg,36.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
37,37.jpg,37.jpg,True,2,2,True,True,2,0,0,0.9788739480999761,0.9577478961999522,False,strong_agreement
38,38.jpg,38.jpg,True,1,1,True,False,0,1,1,,,False,class_disagreement
39,39.jpg,39.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
40,40.jpg,40.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
41,41.jpg,41.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
42,42.jpg,42.jpg,True,3,3,True,True,3,0,0,0.9713253630529906,0.9344857224715882,False,strong_agreement
43,43.jpg,43.jpg,True,2,2,True,True,2,0,0,0.9657388082451985,0.9314776164903971,False,strong_agreement
44,44.jpg,44.jpg,True,1,1,True,False,0,1,1,,,False,class_disagreement
45,45.jpg,45.jpg,True,2,2,True,True,2,0,0,0.9764852989701465,0.9529705979402928,False,strong_agreement
46,46.jpg,46.jpg,True,2,2,True,True,2,0,0,1.0,1.0,True,strong_agreement
47,47.jpg,47.jpg,True,3,3,True,True,3,0,0,0.9786111369535533,0.967333742126094,False,strong_agreement
48,48.jpg,48.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
49,49.jpg,49.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
50,50.jpg,50.jpg,True,3,3,True,False,2,1,1,0.9665020576131687,0.9330041152263374,False,class_disagreement
51,51.jpg,51.jpg,True,2,2,True,True,2,0,0,0.938527933090355,0.9068130204390613,False,strong_agreement
52,52.jpg,52.jpg,True,1,1,True,True,1,0,0,1.0,1.0,True,strong_agreement
