condition_id,corruption_family,severity,parameter,transformation_config_hash
clean,clean,clean,original_phase3_png,a46fc3f29acc06f5dd5d1f4bf0b6c6221430188b8843798ec66e5608efbc676b
gaussian_blur_mild,gaussian_blur,mild,0.75,8f2fc0f71bde3fa319c2c6ed68817619489e9ca31b0cc757c31fd7548e12f9f6
gaussian_blur_moderate,gaussian_blur,moderate,1.5,bf58ced544172fc6a51e82b1832ce10314b3cd5687db5a83bc72359403dac8ce
gaussian_blur_severe,gaussian_blur,severe,3.0,de1a3ce7f6cdf208089ab4d203814df0713814af82435fce20648ea31a0344bd
resolution_mild,resolution,mild,168,7837935fc8703bfb3655ad360a63846540c23d870353fc9b3ab67c7253d20ff0
resolution_moderate,resolution,moderate,112,d765ce24b0796790ac5194ed1ef964b36b3fd5120ba9c72da79fbc64d28bd1a4
resolution_severe,resolution,severe,56,506931136e73ff51d0abf0934d91ca025966f2ade2de81c0541c5aac4b5bda5a
brightness_mild,brightness,mild,0.75,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness_moderate,brightness,moderate,0.5,12b14849311e181211824a7c8b1b09d42dad7d2519acc016b933877fd1dccee2
brightness_severe,brightness,severe,0.25,78e4ab2ac6df7ce5510e30339eda1d7bb0308837941ec8f69dbeae38248f98b8
jpeg_mild,jpeg,mild,75,3f18da4fde10f478fc52a68c1d5030e79ece5b34d71010decfc207ab93257354
jpeg_moderate,jpeg,moderate,50,9ac4a7fb6214b698877b1dac9c26468447d4a8124f3868d6e83289679b21fb7b
jpeg_severe,jpeg,severe,25,7b1c7c2ace02bf9b25e3a7d468dcc21299bfdab98e6500cd4b957624b42c3057
