sample_id,decision,resolved_image_filename,annotation_source,include,notes,reviewer
743,mark_annotation_reused,743.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 10.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=False; thumbnail_corr=0.8361. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
744,mark_annotation_reused,744.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 100.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=True; thumbnail_corr=0.9936. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
745,mark_annotation_reused,745.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 101.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=True; thumbnail_corr=0.9991. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
746,mark_annotation_reused,746.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 105.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=True; thumbnail_corr=0.9200. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
747,mark_annotation_reused,747.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 106.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=True; thumbnail_corr=0.9999. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
748,mark_annotation_reused,748.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 108.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=True; thumbnail_corr=0.7588. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
749,mark_annotation_reused,749.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 11.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=True; thumbnail_corr=0.9828. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
750,mark_annotation_reused,750.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 110.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=True; thumbnail_corr=0.5574. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
751,mark_annotation_reused,751.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 111.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=True; thumbnail_corr=0.9986. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
752,mark_annotation_reused,752.jpg,primary,False,"Human review: XML-stem image is the same underlying source scene as declared 115.jpg, but appears as a photometric/processing variant. Primary/secondary annotations support the same scene. exact_reuse_signature=True; thumbnail_corr=0.7911. Exclude from the core dataset to preserve source-scene independence.",OpenAI-human-review-2026-08-28
