instance_id,source_image_id,source_filename,object_index,raw_label,canonical_label,class_id,split,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_width,bbox_height,source_width,source_height,crop_xmin,crop_ymin,crop_xmax,crop_ymax,crop_side,context_multiplier,minimum_crop_side,minimum_side_applied,boundary_shifted,max_side_clipped,output_width,output_height,output_relative_path,source_image_sha256,processed_image_sha256,defect_occupancy,resize_scale_factor
0_0,0,0.jpg,0,corrosion,corrosion,1,validation,304,13,848,1020,545,1008,1024,1024,0,0,1024,1024,1024,1.5,64,False,True,True,224,224,images/0_0.png,362547ff383c509ca25a782c5a168fe6153eb3642980ff1e7b6eec2ab022105b,e2f92f22bc776c8c68fb5486c85185b7f86cb2891ed0d5d5d91b6d3fa561e6cc,0.523910522461,0.21875
1_0,1,1.jpg,0,craze,craze,0,train,781,430,931,763,151,334,1024,1024,523,345,1024,846,501,1.5,64,False,True,False,224,224,images/1_0.png,9caf2d6b0ee4b215fc1e614916d8e89738621b52c6b23b15682b4cf2736b9b87,35f42bf0cab57e8229c31021e6027beb19f0b7bdf7f4f4c41fd8287ef749b70d,0.200931470393,0.447105788423
2_0,2,2.jpg,0,surface_injure,surface_injure,2,train,500,144,594,220,95,77,1024,1024,475,110,618,253,143,1.5,64,False,False,False,224,224,images/2_0.png,f26299242481246c605cb64d6fe573fb94c32932de4927c750d491f04caf767f,3029406965ac9520bc822859873d0f1a64a9de8a7be1e26b8331594967b3049b,0.357719203873,1.56643356643
3_0,3,3.jpg,0,corrosion,corrosion,1,validation,767,27,887,1016,121,990,1024,1024,0,0,1024,1024,1024,1.5,64,False,True,True,224,224,images/3_0.png,77f92d5aa52ecd64e00c308d321552bf6ed600d9c74187f7498e63b460a6c86c,df8c4d14a23b4f928d6746113ad0493cce319aab9ba9d5d76c30be58c123c044,0.114240646362,0.21875
4_0,4,4.jpg,0,crack,crack,4,train,336,6,642,708,307,703,1024,1024,0,0,1024,1024,1024,1.5,64,False,True,True,224,224,images/4_0.png,09de11f671f5cadf81721e2368400356968df5100a90962893f7acd3b6eccb93,a79496117a1a6888725af45c67ff473d1c3751837b9ff612438c22bcb71a2556,0.205822944641,0.21875
5_0,5,5.jpg,0,corrosion,corrosion,1,train,5,222,361,306,357,85,1024,1024,0,0,536,536,536,1.5,64,False,True,False,224,224,images/5_0.png,6f728a07947e0e63d088229918d9029db9bbc0959f0d927983b3436b16d3565a,b88137478b41a590fbfee2a9753875cd929695adfe628efdc7eefa169bdcc20f,0.105622772332,0.417910447761
5_1,5,5.jpg,1,corrosion,corrosion,1,train,367,269,602,367,236,99,1024,1024,307,140,661,494,354,1.5,64,False,False,False,224,224,images/5_1.png,6f728a07947e0e63d088229918d9029db9bbc0959f0d927983b3436b16d3565a,cb7c59e9d8adae3d68ea18003364b03238b78fb49b08d1e16f564cf7782db0b4,0.186440677966,0.632768361582
5_2,5,5.jpg,2,corrosion,corrosion,1,train,609,311,911,430,303,120,1024,1024,532,142,987,597,455,1.5,64,False,False,False,224,224,images/5_2.png,6f728a07947e0e63d088229918d9029db9bbc0959f0d927983b3436b16d3565a,eb2962262e13584d8fe28b6d9048b9695f37daaa6e7d1a845628da896b749ff6,0.175630962444,0.492307692308
6_0,6,6.jpg,0,craze,craze,0,train,456,613,714,706,259,94,1024,1024,390,464,779,853,389,1.5,64,False,False,False,224,224,images/6_0.png,fcc96028ed4dbaa2f02935c0eebc6f914582ceefc2e6b46e7b8f31c4914be51b,f6e39b0ba09e442b144652e67d3f744f5eae9d4fe8d86cd7e27ab2bd3002d36d,0.160889764144,0.575835475578
7_0,7,7.jpg,0,hide_craze,hide_craze,5,validation,520,267,553,510,34,244,1024,1024,353,205,719,571,366,1.5,64,False,False,False,224,224,images/7_0.png,a6f31a5b9c830a697fb2d2a60fed63c698d23d386a7d7fa765fc1dc91d3c02d2,2b06369bfb54d540605f73cab68427618d9f1e35668012cca3ad7da9434d3d24,0.0619307832423,0.612021857923
