pair_id,image_a,image_b,decision,canonical_sample_id,notes,reviewer
pair-0004,33.jpg,233.jpg,same_scene,33,"Human-reviewed same source scene (scene-004). dHash=0, corr=1.0000, class_jaccard=1.00, bbox_mean_iou=0.7758. Use canonical sample 33; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0016,188.jpg,305.jpg,same_scene,188,"Human-reviewed same source scene (scene-025). dHash=0, corr=1.0000, class_jaccard=1.00, bbox_mean_iou=0.8099. Use canonical sample 188; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0009,111.jpg,570.jpg,same_scene,111,"Human-reviewed same source scene (scene-019). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.4761. Use canonical sample 111; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0031,591.jpg,974.jpg,same_scene,591,"Human-reviewed same source scene (scene-048). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.8844. Use canonical sample 591; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0026,363.jpg,877.jpg,pending_review,,,
pair-0025,332.jpg,700.jpg,same_scene,332,"Human-reviewed same source scene (scene-039). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.8440. Use canonical sample 332; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0008,106.jpg,747.jpg,pending_review,,,
pair-0022,276.jpg,361.jpg,same_scene,276,"Human-reviewed same source scene (scene-036). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.8999. Use canonical sample 276; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0032,696.jpg,1026.jpg,pending_review,,,
pair-0021,276.jpg,341.jpg,same_scene,276,"Human-reviewed same source scene (scene-036). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.8411. Use canonical sample 276; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0030,529.jpg,947.jpg,pending_review,,,
pair-0020,276.jpg,320.jpg,same_scene,276,"Human-reviewed same source scene (scene-036). dHash=0, corr=0.9999, class_jaccard=1.00, bbox_mean_iou=0.7864. Use canonical sample 276; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0013,172.jpg,189.jpg,same_scene,172,"Human-reviewed same source scene (scene-024). dHash=0, corr=0.9998, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 172; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0029,461.jpg,922.jpg,pending_review,,,
pair-0005,88.jpg,264.jpg,same_scene,88,"Human-reviewed same source scene (scene-011). dHash=0, corr=0.9998, class_jaccard=1.00, bbox_mean_iou=0.5695. Use canonical sample 88; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0027,389.jpg,890.jpg,pending_review,,,
pair-0003,31.jpg,196.jpg,same_scene,31,"Human-reviewed same source scene (scene-003). dHash=0, corr=0.9997, class_jaccard=1.00, bbox_mean_iou=0.5396. Use canonical sample 31; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0028,431.jpg,906.jpg,pending_review,,,
pair-0019,238.jpg,263.jpg,same_scene,238,"Human-reviewed same source scene (scene-031). dHash=0, corr=0.9992, class_jaccard=1.00, bbox_mean_iou=0.6959. Use canonical sample 238; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0006,100.jpg,191.jpg,same_scene,100,"Human-reviewed same source scene (scene-015). dHash=0, corr=0.9984, class_jaccard=1.00, bbox_mean_iou=0.8963. Use canonical sample 100; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0012,168.jpg,780.jpg,pending_review,,,
pair-0015,175.jpg,856.jpg,pending_review,,,
pair-0024,322.jpg,858.jpg,pending_review,,,
pair-0017,191.jpg,744.jpg,pending_review,,,
pair-0034,954.jpg,999.jpg,pending_review,,,
pair-0007,100.jpg,744.jpg,pending_review,,,
pair-0014,175.jpg,319.jpg,same_scene,81,"Human-reviewed same source scene (scene-010). dHash=0, corr=0.9904, class_jaccard=1.00, bbox_mean_iou=0.8644. Use canonical sample 81; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0010,135.jpg,175.jpg,same_scene,81,"Human-reviewed same source scene (scene-010). dHash=0, corr=0.9904, class_jaccard=1.00, bbox_mean_iou=0.8140. Use canonical sample 81; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0011,135.jpg,856.jpg,pending_review,,,
pair-0023,319.jpg,856.jpg,pending_review,,,
pair-0033,727.jpg,1045.jpg,pending_review,,,
pair-0018,196.jpg,249.jpg,same_scene,31,"Human-reviewed same source scene (scene-003). dHash=0, corr=0.9779, class_jaccard=1.00, bbox_mean_iou=0.8871. Use canonical sample 31; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0098,710.jpg,1036.jpg,pending_review,,,
pair-0088,301.jpg,846.jpg,pending_review,,,
pair-0095,580.jpg,970.jpg,pending_review,,,
pair-0091,379.jpg,884.jpg,pending_review,,,
pair-0087,251.jpg,826.jpg,pending_review,,,
pair-0081,94.jpg,1062.jpg,pending_review,,,
pair-0093,486.jpg,735.jpg,same_scene,486,"Human-reviewed same source scene (scene-046). dHash=1, corr=0.9997, class_jaccard=1.00, bbox_mean_iou=0.7442. Use canonical sample 486; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0099,716.jpg,1040.jpg,pending_review,,,
pair-0096,656.jpg,1005.jpg,pending_review,,,
pair-0084,130.jpg,762.jpg,pending_review,,,
pair-0090,318.jpg,355.jpg,same_scene,318,"Human-reviewed same source scene (scene-038). dHash=1, corr=0.9994, class_jaccard=1.00, bbox_mean_iou=0.8421. Use canonical sample 318; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0085,143.jpg,174.jpg,same_scene,143,"Human-reviewed same source scene (scene-021). dHash=1, corr=0.9986, class_jaccard=1.00, bbox_mean_iou=0.7011. Use canonical sample 143; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0089,316.jpg,854.jpg,pending_review,,,
pair-0083,100.jpg,794.jpg,pending_review,,,
pair-0082,96.jpg,150.jpg,same_scene,96,"Human-reviewed same source scene (scene-014). dHash=1, corr=0.9972, class_jaccard=1.00, bbox_mean_iou=0.8969. Use canonical sample 96; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0075,47.jpg,80.jpg,same_scene,47,"Human-reviewed same source scene (scene-005). dHash=1, corr=0.9972, class_jaccard=1.00, bbox_mean_iou=0.7263. Use canonical sample 47; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0100,744.jpg,794.jpg,pending_review,,,
pair-0076,67.jpg,1012.jpg,pending_review,,,
pair-0094,543.jpg,551.jpg,same_scene,400,"Human-reviewed same source scene (scene-042). dHash=1, corr=0.9870, class_jaccard=1.00, bbox_mean_iou=NA. Use canonical sample 400; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0092,383.jpg,912.jpg,pending_review,,,
pair-0079,81.jpg,856.jpg,pending_review,,,
pair-0101,886.jpg,912.jpg,pending_review,,,
pair-0080,88.jpg,335.jpg,same_scene,88,"Human-reviewed same source scene (scene-011). dHash=1, corr=0.9769, class_jaccard=1.00, bbox_mean_iou=0.7733. Use canonical sample 88; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0097,706.jpg,718.jpg,same_scene,706,"Human-reviewed same source scene (scene-049). dHash=1, corr=0.9671, class_jaccard=1.00, bbox_mean_iou=0.8933. Use canonical sample 706; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0077,81.jpg,135.jpg,same_scene,81,"Human-reviewed same source scene (scene-010). dHash=1, corr=0.9450, class_jaccard=1.00, bbox_mean_iou=0.8384. Use canonical sample 81; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0078,81.jpg,319.jpg,same_scene,81,"Human-reviewed same source scene (scene-010). dHash=1, corr=0.9450, class_jaccard=1.00, bbox_mean_iou=0.8679. Use canonical sample 81; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0086,205.jpg,801.jpg,pending_review,,,
pair-0164,432.jpg,490.jpg,same_scene,432,"Human-reviewed same source scene (scene-044). dHash=2, corr=1.0000, class_jaccard=1.00, bbox_mean_iou=0.9268. Use canonical sample 432; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0166,457.jpg,918.jpg,pending_review,,,
pair-0162,388.jpg,889.jpg,pending_review,,,
pair-0145,71.jpg,1035.jpg,pending_review,,,
pair-0167,476.jpg,925.jpg,pending_review,,,
pair-0173,689.jpg,1022.jpg,pending_review,,,
pair-0169,544.jpg,953.jpg,pending_review,,,
pair-0146,88.jpg,137.jpg,same_scene,88,"Human-reviewed same source scene (scene-011). dHash=2, corr=0.9986, class_jaccard=1.00, bbox_mean_iou=0.7478. Use canonical sample 88; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0151,143.jpg,366.jpg,same_scene,143,"Human-reviewed same source scene (scene-021). dHash=2, corr=0.9981, class_jaccard=1.00, bbox_mean_iou=0.6888. Use canonical sample 143; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0147,88.jpg,763.jpg,pending_review,,,
pair-0149,102.jpg,274.jpg,same_scene,102,"Human-reviewed same source scene (scene-016). dHash=2, corr=0.9968, class_jaccard=1.00, bbox_mean_iou=0.7594. Use canonical sample 102; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0159,258.jpg,296.jpg,same_scene,258,"Human-reviewed same source scene (scene-033). dHash=2, corr=0.9965, class_jaccard=1.00, bbox_mean_iou=0.8440. Use canonical sample 258; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
pair-0160,343.jpg,445.jpg,same_scene,109,"Human-reviewed same source scene (scene-018). dHash=2, corr=0.9964, class_jaccard=1.00, bbox_mean_iou=0.9283. Use canonical sample 109; redundant scene variants should be excluded.",OpenAI-human-review-2026-08-28
